"campaign_type","total_spend","total_impressions","cpm","cost_per_reach","avg_frequency"
"Reach","250.43","6135680","0.04","0.0000","1.03"
"More Visitor","97.11","615910","0.16","0.0002","1.18"
"Travel Agency","39.24","168686","0.23","0.0003","1.21"
"Leather Bros","20.35","63977","0.32","0.0005","1.55"
"Engagement","561.19","1610133","0.35","0.0004","1.26"
"leather industry","14.65","35871","0.41","0.0006","1.42"
"Fashion Brand","185.17","304500","0.61","0.0009","1.40"
"Fast food industry","294.12","450270","0.65","0.0013","1.85"
"Educator Study","17.78","25988","0.68","0.0011","1.63"
"Ranch Bistro","60.00","80050","0.75","0.0018","2.37"
"Real Estate","2460.47","3028023","0.81","0.0020","2.17"
"Educational institution","621.39","762444","0.81","0.0022","2.20"
"Automobile","49.49","48253","1.03","0.0022","1.91"
"Msg","25.00","23751","1.05","0.0015","1.49"
"Message","142.69","121619","1.17","0.0017","1.45"
"Agency","97.62","67913","1.44","0.0040","2.81"
